code,nombre,name,descr
servicio-001,pilar-001,Ayuda inmediata,Atención rápida para resolver incidencias urgentes.
servicio-002,pilar-002,Capacitación técnica,Sesiones formativas para mejorar habilidades técnicas.
servicio-003,pilar-003,Soporte funcional,Apoyo en el uso correcto de sistemas y aplicaciones.
servicio-004,pilar-001,Acompañamiento en pruebas,Asistencia durante el proceso de pruebas de sistemas.
servicio-005,pilar-004,Gestión del cambio,Gestión de iniciativas para la adopción organizacional.
servicio-006,pilar-002,Mesa de ayuda,Servicio de atención para reportes y solicitudes.
servicio-007,pilar-003,Consultoría estratégica,Asesoramiento en decisiones de alto impacto.
servicio-008,pilar-001,Automatización de procesos,Implementación de herramientas que optimizan tareas.
servicio-009,pilar-004,Análisis de brechas,Identificación de diferencias entre estado actual y esperado.
servicio-010,pilar-002,Definición de KPIs,Establecimiento de indicadores clave de rendimiento.
